AT2G16990.5	AT2G16990.6	100.000	94	0	0	1	94	1122	1215	1.24e-43	174
AT2G16990.5	AT2G16990.4	100.000	94	0	0	1	94	1122	1215	1.24e-43	174
AT5G66600.13	AT5G66600.1	100.000	307	0	0	66	372	1539	1845	2.15e-161	568
AT5G66600.13	AT5G66600.9	100.000	307	0	0	66	372	1539	1845	2.15e-161	568
AT5G66600.13	AT5G66600.7	100.000	307	0	0	66	372	1377	1683	2.15e-161	568
AT5G66600.13	AT5G66600.4	100.000	307	0	0	66	372	1539	1845	2.15e-161	568
AT5G66600.13	AT5G66600.2	100.000	307	0	0	66	372	1479	1785	2.15e-161	568
AT5G66600.13	AT5G66600.3	100.000	307	0	0	66	372	1539	1845	2.15e-161	568
AT5G66600.13	AT5G66600.14	100.000	307	0	0	66	372	1539	1845	2.15e-161	568
AT2G23420.2	AT2G23420.1	100.000	80	0	0	41	120	1595	1674	9.26e-36	148
AT2G38660.2	AT2G38660.4	100.000	57	0	0	1	57	732	788	2.04e-23	106
AT2G38660.2	AT2G38660.3	100.000	57	0	0	1	57	732	788	2.04e-23	106
AT2G38660.2	AT2G38660.1	100.000	57	0	0	1	57	732	788	2.04e-23	106
AT5G64520.9	AT5G64520.10	100.000	67	0	0	9	75	1024	1090	8.54e-29	124
AT5G64520.9	AT5G64520.6	100.000	67	0	0	9	75	1006	1072	8.54e-29	124
AT5G64520.9	AT5G64520.2	100.000	24	0	0	23	46	1006	1029	6.84e-05	45.4
AT5G64520.9	AT5G64520.3	100.000	24	0	0	23	46	1024	1047	6.84e-05	45.4
AT1G15110.1	AT1G15110.2	100.000	57	0	0	1	57	1280	1336	2.04e-23	106
AT5G10320.5	AT5G10320.6	100.000	281	0	0	2	282	617	897	4.53e-147	520
AT5G10320.5	AT5G10320.2	100.000	281	0	0	2	282	929	1209	4.53e-147	520
AT5G10320.5	AT5G10320.1	100.000	281	0	0	2	282	932	1212	4.53e-147	520
AT2G30480.2	AT2G30480.9	100.000	69	0	0	1	69	1704	1772	5.85e-30	128
AT2G30480.2	AT2G30480.5	100.000	69	0	0	1	69	1956	2024	5.85e-30	128
AT2G30480.2	AT2G30480.1	100.000	69	0	0	1	69	1704	1772	5.85e-30	128
AT2G30480.2	AT2G30480.3	100.000	69	0	0	1	69	1956	2024	5.85e-30	128
AT2G30480.2	AT2G30480.4	100.000	69	0	0	1	69	1230	1298	5.85e-30	128
AT2G30480.2	AT2G30480.12	100.000	69	0	0	1	69	1230	1298	5.85e-30	128
AT2G30480.2	AT2G30480.11	100.000	69	0	0	1	69	1503	1571	5.85e-30	128
AT2G30480.2	AT2G30480.10	100.000	69	0	0	1	69	1956	2024	5.85e-30	128
AT4G15210.2	AT4G15210.3	100.000	84	0	0	1	84	1218	1301	3.54e-38	156
AT4G15210.2	AT4G15210.4	100.000	84	0	0	1	84	1218	1301	3.54e-38	156
AT4G15210.2	AT4G15210.1	100.000	84	0	0	1	84	1377	1460	3.54e-38	156
AT1G49730.2	AT1G49730.4	100.000	152	0	0	62	213	1308	1459	1.70e-75	281
AT1G49730.2	AT1G49730.1	100.000	152	0	0	62	213	1398	1549	1.70e-75	281
AT1G49730.2	AT1G49730.5	100.000	61	0	0	25	85	1398	1458	6.58e-25	113
AT5G20450.2	AT5G20450.10	100.000	47	0	0	77	123	985	1031	2.11e-17	87.9
AT5G15510.2	AT5G15510.1	100.000	29	0	0	1	29	1466	1494	1.76e-07	54.7
AT4G30310.1	AT4G30310.4	100.000	63	0	0	1	63	1178	1240	1.10e-26	117
AT4G30310.1	AT4G30310.2	100.000	63	0	0	1	63	1532	1594	1.10e-26	117
AT4G30310.1	AT4G30310.3	100.000	63	0	0	1	63	1148	1210	1.10e-26	117
AT5G48400.1	AT5G48400.2	100.000	393	0	0	52	444	2212	2604	0.0	726
AT2G31600.2	AT2G31600.1	100.000	112	0	0	48	159	640	751	2.11e-53	207
AT2G31600.2	AT2G31600.4	100.000	112	0	0	48	159	640	751	2.11e-53	207
AT2G31600.2	AT2G31600.5	100.000	112	0	0	48	159	640	751	2.11e-53	207
