gene_id	start	stop1	stop2	len_cdna
AT1G68020.3	224	2806	2920	3149
AT3G03760.1	76	897	948	1058
AT1G77290.3	450	1250	1307	1324
AT5G51670.1	137	1561	1642	1839
AT1G10840.2	465	1217	1343	1471
AT1G02260.1	417	1925	1979	2482
AT3G18790.1	193	1095	1146	1408
AT2G24600.2	178	1824	1911	2196
AT5G02680.1	310	711	822	1020
AT1G75860.2	95	1228	1288	1353
AT5G46860.1	316	1122	1224	1443
AT3G54560.1	221	631	706	891
AT1G19000.1	103	960	1014	1355
AT5G17010.3	203	1714	1831	2130
AT5G14430.2	113	1951	2005	2183
AT1G18020.1	38	847	922	1509
AT3G29575.1	489	1184	1259	1386
AT4G39850.2	417	4433	4529	4804
AT4G13550.2	1	2565	2679	2821
AT3G15354.1	558	3071	3128	3303
AT4G38250.1	132	1442	1550	1667
AT2G24200.3	80	1534	1585	1745
AT5G22420.1	1	1230	1326	1466
AT4G17310.4	113	412	490	1497
AT2G33730.1	124	2325	2478	2723
AT1G66970.1	355	2646	2724	3006
AT2G32320.3	213	1811	1862	2150
AT4G25880.2	141	2708	2804	3012
AT5G52740.1	49	405	468	657
AT1G79460.1	93	2450	2546	2660
AT4G33130.4	530	976	1060	1424
AT1G72490.3	55	921	972	1366
AT4G39260.2	122	502	607	769
AT5G16620.1	189	1532	1589	1853
AT5G11910.3	8	550	631	1223
AT2G16990.5	390	1595	1694	2125
AT4G21270.1	285	2666	2723	2926
AT4G11610.2	244	3267	3366	3494
AT1G13220.2	1	3387	3438	3600
AT3G45650.1	377	2053	2128	2217
AT1G07520.2	814	2409	2472	2593
AT2G30615.1	245	817	916	1502
AT1G65270.3	150	1028	1094	1489
AT2G31740.2	822	2513	2615	2727
AT5G60770.1	32	1615	1678	1716
AT5G66600.13	232	1791	2160	2265
AT1G61150.6	216	896	1082	1225
AT3G14630.1	1	1527	1632	1820
AT5G38630.1	150	842	902	1516
AT1G21880.1	209	1159	1210	1327
AT2G23420.2	216	1850	1967	2253
AT3G15610.1	446	1471	1570	1700
AT4G10110.1	102	623	728	836
AT4G38580.2	234	695	761	924
AT1G10290.1	373	3117	3189	3460
AT2G32010.1	594	2378	2447	2871
AT2G38660.2	106	837	891	1354
AT4G12640.1	166	2637	2721	2869
AT5G58375.1	128	385	517	821
AT5G24650.1	100	879	936	1124
AT1G50940.1	74	1165	1303	1391
AT3G43670.1	78	2141	2369	2391
AT3G19190.3	241	5919	5973	6234
AT3G09310.1	63	575	665	795
AT4G03050.1	251	1486	1558	1795
AT5G64520.9	53	1099	1171	1336
AT4G13830.3	552	1103	1178	1652
AT2G01830.1	432	3605	3668	3942
AT1G15110.1	354	1631	1685	2038
AT5G10320.5	237	1238	1517	1782
AT1G71410.2	218	2947	3001	3162
AT5G45040.1	38	565	724	760
AT5G48543.1	35	304	418	477
AT3G54810.2	299	1267	1408	1858
AT1G66690.1	68	1129	1222	1343
AT1G10590.1	185	604	766	940
AT2G44480.2	559	1806	1863	1893
AT3G21690.1	167	1687	1762	2215
AT5G48335.1	212	556	706	796
AT3G53730.1	546	857	950	1131
AT4G27860.1	12	1847	1925	2133
AT4G13530.2	25	834	885	999
AT2G30480.2	280	2232	2298	2451
AT2G45940.1	21	1079	1214	1223
AT4G18430.1	161	814	916	1046
AT4G38340.2	194	2284	2386	2519
AT4G32250.1	875	2710	2761	2951
AT5G11416.1	1	231	444	675
AT5G19090.3	231	1628	1718	1797
AT5G26720.1	167	571	670	900
AT1G67050.1	202	996	1047	1320
AT1G16560.4	222	1085	1205	1450
AT5G51870.3	52	741	795	914
AT1G07940.4	343	1692	1902	2089
AT5G24580.3	154	1104	1161	1240
AT4G17480.3	256	924	972	1562
AT3G52090.1	103	453	555	785
AT4G17310.7	113	388	460	825
AT4G16983.1	353	619	760	778
AT5G55990.2	527	1207	1297	1445
AT4G15210.2	114	1376	1457	1890
AT3G13580.1	132	866	953	1062
AT1G49730.2	21	1373	1583	2204
AT5G20450.2	685	1689	1809	2080
AT5G43240.2	237	1343	1406	1434
AT5G55530.2	193	1410	1494	1818
AT2G35000.1	375	1511	1595	1779
AT1G79620.3	132	2327	2378	3364
AT1G57700.1	465	2543	2615	2909
AT3G15190.1	196	804	873	1007
AT2G45130.1	80	817	886	916
AT5G47800.2	70	2088	2172	2262
AT4G36080.2	380	11794	11869	11964
AT1G23070.1	62	1273	1351	1461
AT3G06760.1	135	809	923	1119
AT1G41830.1	165	1793	1880	2117
AT2G16660.1	299	1939	1987	2215
AT1G02080.2	208	7341	7395	7572
AT5G15510.2	116	1675	1777	1882
AT1G06710.10	108	3071	3167	4429
AT3G55230.1	38	958	1084	1160
AT4G14365.1	219	1349	1412	1739
AT3G59680.1	406	1011	1113	1235
AT5G26180.5	82	1785	1884	2456
AT1G29060.1	253	657	708	978
AT5G12310.1	436	1200	1275	1506
AT2G15890.1	184	795	855	1622
AT3G18140.2	219	893	977	1320
AT1G65960.2	92	1576	1717	2053
AT2G04400.1	61	1269	1335	1428
AT4G14790.2	324	2039	2117	2379
AT3G16560.3	324	1697	1766	2349
AT2G19610.2	361	1617	1725	1840
AT4G37830.2	65	343	391	491
AT2G15000.3	105	398	500	733
AT1G23850.1	191	1255	1345	1512
AT4G30310.1	39	1538	1598	1818
AT5G52860.1	171	1940	1994	2126
AT2G45050.1	262	1056	1146	1338
AT2G34680.2	375	5681	5828	6027
